"iteration","A_time","A_Wind_median","A_Wind_bias","A_Wind_covered","A_Wind_power","A_Thermal_median","A_Thermal_bias","A_Thermal_covered","A_Thermal_power","A_MetaThermal_median","A_MetaThermal_bias","A_MetaThermal_covered","A_MetaThermal_power","B_time","B_MetaThermal_median","B_MetaThermal_bias","B_MetaThermal_covered","B_MetaThermal_power","E_MetaThermal_median","E_MetaThermal_bias","E_MetaThermal_covered","E_MetaThermal_power","E_note","E_time","F_MetaThermal_median","F_MetaThermal_bias","F_MetaThermal_covered","F_MetaThermal_power","F_note","F_time","D_note","D_time","G_time","H_true_pval","H_alt_pval","H_true_accepted","H_alt_rejected","H_correct","I_MetaThermal_median","I_MetaThermal_bias","I_MetaThermal_covered","I_MetaThermal_power","I_Wind_median","I_Wind_bias","I_Wind_covered","I_Wind_power","I_time","J_time"
24,103.085,-0.547,-0.047,1,1,-0.928,-0.128,1,1,0.677,0.0770000000000001,1,1,69.384,0.67,0.0700000000000001,1,1,0.646472700577882,0.0464727005778819,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.198000000000008,0.922987274973914,0.322987274973914,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.528999999999996,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0439999999999827,0,1,1,1,0,0,0.678250015851283,0.0782500158512834,1,1,-0.444277028780255,0.0557229712197446,1,1,0.156000000000006,0.00199999999998113
25,94.163,-0.605,-0.105,1,1,-0.769,0.031,1,1,0.542,-0.0579999999999999,1,1,66.316,0.529,-0.071,1,1,0.51112048294562,-0.08887951705438,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0360000000000014,0.834407325005356,0.234407325005356,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.161999999999978,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0369999999999777,0,1,1,1,0,0,0.532978958512305,-0.0670210414876945,1,1,-0.956090009996181,-0.456090009996181,0,1,0.173000000000002,0
26,111.115,-0.67,-0.17,1,1,-0.79,0.01,1,1,0.596,-0.004,1,0,75.8530000000001,0.673,0.0730000000000001,1,1,0.581124348623942,-0.0188756513760576,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0430000000000064,0.913083423995857,0.313083423995857,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.149999999999977,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0389999999999873,0,1,1,1,0,0,0.670879276144478,0.0708792761444778,1,1,-0.55143542921776,-0.0514354292177603,1,1,0.12399999999991,0
27,104.612,-0.568,-0.068,1,1,-0.831,-0.0309999999999999,1,1,0.674,0.0740000000000001,1,1,79.32,0.667,0.0670000000000001,1,1,0.639305716577611,0.0393057165776115,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0470000000000255,0.900754592925948,0.300754592925948,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.192000000000007,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.04099999999994,0,1,1,1,0,0,0.669707146932777,0.0697071469327767,1,1,-0.442150616851753,0.0578493831482467,1,1,0.113000000000056,0
28,101.849,-0.772,-0.272,1,1,-1.019,-0.219,1,1,0.755,0.155,1,1,79.394,0.733,0.133,1,1,0.772042089364374,0.172042089364374,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0520000000000209,0.956639089128155,0.356639089128155,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.105000000000018,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.119000000000028,0,1,1,1,0,0,0.729973017433933,0.129973017433933,0,1,-0.43352325483631,0.0664767451636905,1,1,0.161000000000058,0
29,175.884,-0.446,0.054,1,1,-0.898,-0.098,1,1,0.541,-0.0589999999999999,1,0,139.316,0.625,0.025,1,1,0.577422965306887,-0.022577034693113,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0799999999999272,0.88570695420302,0.28570695420302,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.251999999999953,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0779999999999745,0,1,1,1,0,0,0.61965208914991,0.0196520891499099,1,1,-0.452964637244067,0.0470353627559331,1,1,0.197999999999865,0.00100000000020373
30,134.944,-0.346,0.154,1,0,-0.983,-0.183,1,1,0.698,0.098,1,1,96.221,0.674,0.0740000000000001,1,1,0.732591693018157,0.132591693018157,0,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.15300000000002,0.911007816777361,0.311007816777361,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.30399999999986,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.134000000000015,0,1,1,1,0,0,0.675371404914802,0.0753714049148024,1,1,-0.248497636596696,0.251502363403304,1,0,0.225000000000136,0.000999999999976353
31,178.397,-0.785,-0.285,1,1,-0.864,-0.064,1,1,0.691,0.091,1,1,92.1790000000001,0.695,0.095,1,1,0.668983321997958,0.0689833219979583,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.071999999999889,0.913315552309306,0.313315552309306,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.167000000000144,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0559999999998126,0,1,1,1,0,0,0.698680070547577,0.098680070547577,0,1,-0.669759610147698,-0.169759610147698,1,1,0.197999999999865,0
32,132.502,-0.645,-0.145,1,1,-0.812,-0.012,1,1,0.748,0.148,1,1,95.5240000000001,0.691,0.091,1,1,0.720840309987391,0.120840309987391,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0609999999999218,0.922896228920303,0.322896228920303,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.105999999999995,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0450000000000728,0,1,1,1,0,0,0.692880594250609,0.0928805942506092,1,1,-0.592025846680486,-0.0920258466804855,1,1,0.185999999999922,0
33,132.694,-0.317,0.183,1,0,-0.658,0.142,1,1,0.528,-0.072,1,1,88.6059999999998,0.515,-0.085,1,1,0.515754647811168,-0.0842453521888324,1,1,"PIC: abundance aggregated to species mean (log+1 transformed). Site/survey hierarchy lost.",0.0790000000001783,0.871298284405554,0.271298284405554,0,1,"phylopath: abundance = log(mean_sp + 1). No survey/site hierarchy.",0.114000000000033,"piecewiseSEM: log(Abundance+1), no phylogeny, listwise deletion.",0.0349999999998545,0,1,1,1,0,0,0.514609930736215,-0.0853900692637853,1,1,-0.340177409014693,0.159822590985307,1,1,0.135999999999967,0
